#TYPE Microsoft.PowerShell.Commands.MatchInfo
"IgnoreCase","LineNumber","Line","Filename","Path","Pattern","Context","Matches"
"True","391","PN: 716_02_SETTING PLATE | Name: 716_02_SETTING PLATE.1 | Size: 50.0 x 95.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","394","  [DEBUG] Document-level STL success. Size: 69521","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","396","PN: 716_02_SETTING PLATE | Name: 716_02_SETTING PLATE.2 | Size: 50.0 x 95.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","399","  [DEBUG] Document-level STL success. Size: 69521","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","401","PN: 716_02_SETTING PLATE | Name: 716_02_SETTING PLATE.3 | Size: 50.0 x 95.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","404","  [DEBUG] Document-level STL success. Size: 69521","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","406","PN: 716_02_SETTING PLATE | Name: 716_02_SETTING PLATE.4 | Size: 50.0 x 95.0 x 20.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","411","PN: ADAPTER_LOWER_AND_UPPER_DIE | Name: ADAPTER_LOWER_AND_UPPER_DIE.1 | Size: Not Measurable","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","414","  [DEBUG] Document-level STL success. Size: 1097057","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","416","MATCH -> PN: 203_UPPER_FLANGE_STEEL_01 | Name: 203_UPPER_FLANGE_STEEL_01.1 | Size: 160.0 x 310.0 x 163.14","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","419","  [DEBUG] Document-level STL success. Size: 1090094","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","421","PN: 204_UPPER_FLANGE_STEEL_02 | Name: 204_UPPER_FLANGE_STEEL_02.1 | Size: 160.0 x 310.0 x 163.14","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","424","  [DEBUG] Document-level STL success. Size: 84471","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","426","PN: 000_EJECTION PIN NON STD | Name: 000_EJECTION PIN NON STD.1 | Size: 20.0 x 20.0 x 82.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","429","  [DEBUG] Document-level STL success. Size: 84471","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
"True","431","PN: 000_EJECTION PIN NON STD | Name: 000_EJECTION PIN NON STD.2 | Size: 20.0 x 20.0 x 82.0","InputStream","InputStream","Size:",,"System.Text.RegularExpressions.Match[]"
